service_idx,category,name,address,tel,comment,hours,latitude,longitude
1,카페,미드테이블,"경남 진주시 영천강로68번길 12 (충무공동) 1층 미드테이블",0507-1323-3895,"힙한 분위기로 커피와 브런치가 맛있는 카페
진주혁신도시에 위치하였으며 맛있는 샌드위치와 샐러드를 함께 먹을 수 있는 곳입니다
커피는 솔티크림라떼, 흑임자크림라떼, 아이스크림라떼가 가장 인기있으며 브런치류는 그릴샌디, 잠봉뵈르, 샐러드류가 가장 인기있습니다.
맛에 항상 자신있는 미드테이블 진주점입니다.","10:30 ~ 20:30",35.1694,128.138
2,카페,이거디,"경남 진주시 망경북길 26 1~2층",055-922-9080,"신선한 과일만 있어요","12:00 ~ 23:00",35.1853,128.0818
3,카페,나인커피,"경상남도 진주시 충무공동 225-3 103호",055-752-4620,"일반 원두커피부터 다양한 스페셜티 커피와 최고 프리미엄커피를 즐길 수 있습니다.","08:00 ~ 22:00",35.1757,128.0923
4,카페,"cafe AAM","경남 진주시 말티고개로 31",055-753-0025,"cafe AAM은 까페 올어바웃미의 약자로 2014년 서울 연희동에 마카롱 부띠끄 개점을 시작으로 경리단길 올어바웃미를 거쳐 진주 까페 에이에이엠과 부산 광안리 BCBL COFFEE ROASTERS를 운영 중에 있으며 2022년에는 진주시가 지정한 카페형 개인정원 1호에 지정되어 시민과 관광객들에게 많은 사랑을 받고 있습니다. 
최고의 서양식 정원에서 최고의 브런치와 커피를 서비스합니다. 
예쁜 정원 속에서 달콤한 디저트와 음료로 여유를 즐겨보세요.","10:00 ~ 21:00",35.2002,128.1062
5,카페,"마켓 진양호","경남 진주시 남강로1번길 104-3",010-3734-7138,"스페셜티로 만든 더치커피와 각종 유기농 수입 스낵 , 음료
그로서리까지, 지금까지 보지못한 형태의 새로운 카페형 마켓
마켓진양호 입니다.","11:00 ~ 21:00",35.1746,128.0358
6,마트,펫마트,"경남 진주시 동진로 133",055-756-1551,"2020 한국프랜차이즈대상 수상
⠀
강아지 고양이 소동물
국내 반려동물용품 NO.1 펫마트
최대규모 / 최다품목 / 최저가격
⠀
 주차가능!
 연중무휴!
 반려동물 동반가능!
무료 무선인터넷!
 파격적인 적립 혜택!
⠀
반려동물용품은 역시 펫마트!","09:00 ~ 22:00",35.1796,128.1057
7,마트,펫인어스,"경남 진주시 범골로54번길 30-9 A동 119호",0507-1370-6974,"진주에 없는 강아지 고양이 사료, 간식, 의류, 장난감 등을 모았습니다!
미용/분양/호텔링은 하지않습니다. 오직 용품만 취급합니다!
전시되어 있는 상품 모두 예약주문 및 배달 가능합니다!

* 사단법인 리본 (유기동물 구조 및 입양)
공식후원업체","11:00 ~ 21:00",35.1668,128.1327
8,마트,펫사마,"경남 진주시 진주대로 911 펫사마",055-761-9455,"강아지/고양이용품 전문업체, 강아지/고양이 상담전문, 운영자의 박학한 전문지식으로 사료부터 행동교정까지 전문적 상담이 가능합니다. 
100% 수제음식(간식,사료 등), 숨숨집, 등 애견/애묘용품의 모든것!","10:00 ~ 21:00",35.1816,128.0896
9,마트,멍품샵,"경남 진주시 하대로 26 . 1층 일부(하대동)",0507-1325-8168,"맛있는 커피가 있는 반려용품샵 입니다 ~","10:00 ~ 21:00",35.1941,128.1152
10,마트,"장보는 강아지와 고양이","경남 진주시 대신로 488",070-7768-4286,"경상남도 진주시 초전동 위치, 애완용품, 사료, 수제간식, 하우스, 방석, 장난감 판매","10:00 ~ 21:30",35.2041,128.1163
