고유번호,Title,Content
1,세균성 안감염,"세균성 안겸염은 눈꺼플에 염증이 생겨 붉어지고 부어오를 증상을 동반합니다. 세균성 김염에 의해 주로 발병되고 반려견이 간지러움으로 인한 스트레스를 많이 받을 수 있으므로 빠른 병원 내원이 필요합니다.  진료가능 항목을 클릭하시면 평균 진료비를 확인하실 수 있습니다. 본 질병 조회는 문헌, 통계자료 분석에 의한 결과이므로 참고 자료로 활용하시고, 보다 정확한 진단은 수의사님의 진료가 필요합니다.   "
2,알레르기성 안검염,알레르기성 안겸염은 눈꺼플에 염증이 생겨 붉어지고 부어오를 증상을 동반합니다. 특정 음식이나 알러지 반응에 의해 주로 발병되고 반려견이 간지러움으로 인한 스트레스를 많이 받을 수 있으므로 빠른 병원 내원이 필요합니다.
3,안구건조증,"안구건조증은 눈꼽이 많이 끼고 흰자가 충혈되는 증상을 수반하므로, 의심히 병원을 내원하며 눈물량 검사를 통해 적절한 진단으로 증상이 악화되지 않도록 해야 합니다."
4,각막궤양,"각막궤양은 각막상처 재대로 치료가 안되서 발병하는 질병으로 원인은 세균감염, 스테로이드 성 약물 복용등으로 발병할 수 있습니다. 각막에 구명이 생겨 응급상황이 발생할 수 있으니 신속한 병원 내원이 필요합니다."
5,알레르기가 심한 경우,"음식 알레르기 또는 계절성 알레르기로 인해 발생하며, 너무나 많은 원인이 있을 수 있으므로 알레르기 검사로 정확한 원인 판단 후 치료가 필요합니다."
6,각막상처,각막상처는 검은자위 부분이 손상된 질병입니다. 반려견이 눈을 긁거나 사물에 부딪혀 생기는 경우가 많으며 향후 심각한 각막궤양으로 발전될 수 있습니다. 상처에 2차 감염되는 경우가 있어 적절한 안과적 치료가 요구됩니다.
7,세균 감염,"비교적 가벼운 안과적 질병이므로 빠른 치료를 필요로 합니다. 그대로 둘 경우 결막염, 안검염 등 심각하고 고질적인 질환으로 발병할 수 있으니, 초기 치료가 매우 중요합니다."
8,각막염,"각막에 혈관과 염증세포가 존재하는 것으로  자가면역성 질병이나 자외선 노출, 안구 상처 등의 원인으로 발병합니다. 표층 각막염이 심층으로 변화한 경우, 깊은 각막궤양이나 실질의 농양으로 심층성 각막염이 될 수 있습니다. 안약과 항생제 치료, 수술로 치료 가능합니다."
9,상공막염,상공막염은 흰자위 안쪽에 염증이 발생한 것으로 흰자위가 붉어지고 검은 부분까지 혈관이 내려오는 질병입니다. 여러가지 확진을 위해 정밀검사를 요하므로 신속한 병원 내원이 필요합니다.
10,녹내장,"녹내장은 노견 또는 눈의 손상이나 다른 안과 질환으로 유전적인 원인으로 발생하는 경우가 많고, 기본적인 치료로는 안압을 낮추는 것과 약물투여 통해 치료합니다."
11,전정장애,귀에서 뇌로 연결되는 평행감각을 다스리는 전정 부위에 이상이 생기는 질환입니다. 치료방법으로는 항생물질이나 스테로이드제를 투여하고 적절한 치료를 하면 며칠에서 몇 주 사이에 병상을 개선할 수 있습니다. 후유증으로 고개가 기울어진 상태가 지속되기도 하므로 이상이 보이면 조기에 진찰을 받아야 합니다.
12,백내장,"백내장은 노화 또는 유전적인 요인으로 발생하는 질병으로 
약물치료와 수술 및 초음파 치료합니다."
13,망막박리,"망막박리는 망막과 맥락막 사이에 염증 발생하거나 두부에 충격으로 인해 발생하는 질병으로, 검안경을 사용하여 안저 검사 후 수술을 통해 치료합니다."
14,각막염,"각막에 혈관과 염증세포가 존재하는 것으로  자가면역성 질병이나 자외선 노출, 안구 상처 등의 원인으로 발병합니다. 표층 각막염이 심층으로 변화한 경우, 깊은 각막궤양이나 실질의 농양으로 심층성 각막염이 될 수 있습니다. 안약과 항생제 치료, 수술로 치료 가능합니다."
15,포도막염,"홍채, 모양체, 맥락막 등의 포도막은 혈관이 많고 염증이 일어나기 쉬운 곳이다. 심해지면 실명할 우려도 있다. 치료방법으로는 원인을 알고 있다면 그에 따른 치료를 하면 되고, 원일을 알 수 없는 대부분의 경우에는 증상에 따라 소염제나 항생물질, 산동약 등으로 증상을 완화시키는 치료를 한다."
