고유번호,분류,증상명,설명
1,A증상,급성 위염,"급성위염은 갑자기 구토를 일으키며, 여러 차례 심하게 나타난다. 상한 읍식을 섭취했을 경우 나타나며 치료방법으로는 음식출 섭취를 제한하고, 탈수 증상이 있을 경우 수액을 공급합니다."
2,B증상,만성위염,"상한 읍식을 섭취했을 경우 나타나며 치료방법으로는 음식출 섭취를 제한하고, 탈수 증상이 있을 경우 수액을 공급합니다."
3,C증상,위궤양,"질병 치료를 위해 내복약을 장기간 복용하고 있거나, 만성위염 또는 신부전이 있는 경우에 위 점막을 손상시켜 궤양을 일으키고 출혈이 나타납니다. 치료방법으로는 출혈을 동반하기 때문에 빈혈 검사와 위산 분비를 억제하고 위점막의 회복을 촉진하는 약이나 위 점막을 보호하는 약 등을 투여한다."
4,D증상,이물질 섭취,고양이 장난감이나 굴러다니는 단추 같은 삼키기 쉬운 이물질을 섭취할 때 구토가 일어납니다. 치료방법으로는 이물질이 구토나 변으로 자연스럽게 배설되거나 배설되지 않을 경우 외과수술로 절제합니다.
5,E증상,우문협착,치료방법으로는 이물질이 구토나 변으로 자연스럽게 배설되거나 배설되지 않을 경우 외과수술로 절제합니다.
6,F증상,위종양,위종양은 위에 악성종양이 있는 질병으로 림프육종이 원인입니다. 치료방법으로는 외과수술 또는 화학요법 등을 진행합니다.
7,G증상,염증성 위염,"염증성 세포인 림프구, 호산구, 산성 색소에 잘 물드는 거칠고 큰 과립을 많이 가진 백혈구, 호중구 등이 소화관 점막에 침투하여 생기는 장염입니다. 치료방법으로는 내과적인 약물 투약 후 증상이 개선되면 수의사의 지도 아래 식이요법을 진행합니다."
8,H증상,범백혈구 감소증,"범백혈구 감소증은 고양이의 파보바이러스 입니다. 파보바이러스는 고양이의 대변과 소변으로 다량 배설되며, 바이러스가 들어 있는 변을 입으로 섭취했을 때 감염되는 것으로 알려져 있습니다.
치료방법으로는 수액으로 체액과 전해질을 보정하고 2차 감염을 예방합니다."
9,I증상,변비,"사료의 내용물, 고양이 화장실의 오염, 고양이 화장실의 부적절한 위치 이외에 신경장애 같은 병적인 원인 등이 있습니다. 치료방법으로는 관장을 하거나 사료를 변경 급여하여 치료합니다."
10,J증상,지방간증,"지질대사의 이상으로 간세포에 중성지방이 쌀입니다. 비만 고양이, 비만이었던 고양이, 그리고 영양부족으로 야윈 고양이도 걸릴 수도 있습니다. 치료방법으로는 간 기능을 회복시키는 약제를 투여합니다."
11,K증상,천식,"원인으로는 담배, 스프레이. 먼지, 식사 등으로 발생합니다. 치료방법으로는 내과 치료를 하며, 약으로 관리 가능합니다. 그리고 고양이가 있는 곳에서 담배를 피우지 않고, 공기정화를 자주 합니다."
12,A증상,골육종,"뒷다리와 두개에 잘 생기는 육종입니다. 특히 노령 고양이가 잘 걸린다는 보고가 있습니다. 만성적으로 절룩거리고, 갑자기 증세가 악화되기도 하며, 종양 부분이 골절되기도 합니다. 치료방법으로는 외과수술을 합니다."
13,B증상,비대성 골증,다리에 살이 쪄서 두툼해지고 붓습니다. 골막의 증식이 나타나 다리가 살이 찌고 두툼해집니다. 치료방법으로는 외과수술을 합니다.
14,C증상,폐암,"폐의 종양이 발가락으로 전이되어 발가락이 붓고, 발톱 주위에 염증이 생겨 통증 동반하는 병변입니다. "
15,A증상,세균성 설사,"살모넬라, 캠필로박터, 대장균 등이 설사를 유발하며 또는 고양이의 몸이 허약해졌을 때 장 속의 일반 세균이 세균성 설사를 일으킬 수 있습니다. 치료방법으로는 상태를 지속적으로 살피면서 원인균에 효과가 있는 항생제를 투여합니다."
16,B증상,바이러스성 설사,"바이러스성 설사에는 파보바이러스감염증과 코로나바이러스감염증이 있습니다. 파보바이러스는 골수도 손상시켜 골수 기능을 떨어뜨리고, 범백혈구 감소를 가져옵니다. 이 질병은 백신이 있으므로 예방이 가능합니다. 코로나 바이러스는 고양이의 혈액검사로 항체값을 측정할 수 있습니다. 이 질병 또한 백신으로 예방 가능합니다."
17,C증상,고양이 백혈병 바이러스,"레트로바이러스가 원인이며 이 바이러스는 림프계나 골수로 감염되어 퍼지는데, 장도 감염이 됩니다. 장의 상피점막이 손상되어 장염이 되고, 그 결과 설사를 하게 됩니다. 백혈병 바이러스는 소화관림프종 같은 악성종양을 만듭니다."
18,D증상,식이성 설사,"고양이는 특이한 기호를 갖고 있어 우유의 유당을 분해하는 효소가 없기 때문에 우유를 먹으면 설사를 하고, 향신료가 들어간 음식물을 먹고 설사를 하기도 합니다. 또한 씹기 좋은 플라스틱, 끈, 휴지 등을 씹어 삼킬 경우 설사를 합니다. 치료방법으로는 고양이 사료를 포함한 식품 알레르기가 있는  지 수의사의 지도 아래 해당 알레르기에 따라 처방식을 바꿔 치료합니다."
19,E증상,약물성 설사,"고양이는 항생제를 투여했을 때 설사를 하기도 합니다. 항생제는 세균 감염을 치료할 때 사용하는 약품이지만, 정상적인 장내 세균에 작용하여 설사를 일으킵니다. 이럴 경우 약물 투약을 중단합니다."
20,F증상,결장염(대장염),"결장염(대장염)에는 2가지 갑상선기능항진증이 원인인 설사와 장의 림프육종이 원인인 설사가 있습니다. 10세 이상의 고양이에게 갑상선기능항진증이 원인인 설사는 만성이 되기도 합니다. 잘 먹지만 살이 찌지 안흥며 많이 움직이고 많은 양의 설사를 하게 됩니다. 장의 림프육종이 원인인 설사는 소화관에 생기는 악성종양의 하나로, 고양이 백혈병 바이러스가 림프육종이 생기는 원인입니다."
21,G증상,기생충 감염,"위생 상태가 좋지 않은 곳에서 발생하기 쉬우며,  다른 바이러스성 질환이나 진드기에도 감염되어 있을 수 있습니다. 기생충이 다른 장기로 이동하여 이상 증상을 유발할 수 있습니다.  약물 치료를 통해 치료받을 수 있으며, 비교적 치료가 수월한 경우가 많습니다.  재감염되지 않도록 위생관리를 철저히 해주셔야 하며, 심하게 감염된 경우에는 치료를 통해 기생충이 갑자기 죽으면서 장폐색을 유발하는 경우도 있으니 주의하셔야 합니다."
22,A증상,비만,"비만은 고양이의 영양상태가 비정상적인 상태입니다. 섭취 칼로리와 소비 칼로리의 균형이 깨지면 비만이 됩니다. 섭취 칼로리가 많다는 것은 필요 이상으로 과식을 하고, 평소에 고칼로리 사료를 먹습니다. 또 칼로리 소비가 적다는 것은 운동이 부족한 결과이며, 이상태에서는 체지방이 증가합니다. 예방방법으로는 고양이의 적정체중과 이상체중을 알아두며, 1일 사료량의 무게를 재며 급여 합니다."
